Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
53b794f0-9f48-97ba-3c6e-8ef4b7c1f141,1983-04-15,,999-53-2325,S99975465,X87990209X,Mr.,Jaime666,Alden634,Pfannerstill264,,,S,black,nonhispanic,M,New York  New York  US,717 Bailey Ville,New York,New York,Queens County,36061,10154,40.89888667407387,-73.90523034219595,94456.45,130758.88,34208
4c40ad08-4a98-4395-bcb3-5c741e64efa9,1952-05-03,,999-37-8021,S99910892,X60910805X,Mrs.,Blossom971,Cherryl901,Wuckert783,,Block661,D,white,nonhispanic,F,New York  New York  US,383 Trantow Road,Ossining,New York,Westchester County,36119,10510,41.21006301331719,-73.84145439603954,410384.66,1756177.07,766598
c4455ac8-1064-1049-b4e8-07ed9e93b4e6,1933-12-07,,999-85-7622,S99955715,X41677466X,Mr.,Chuck784,,Batz141,,,D,black,nonhispanic,M,Elwood  New York  US,225 O'Connell Key Unit 90,New York,New York,Queens County,36081,11420,40.70334766292864,-74.04574637188128,99764.44,1436083.93,30667
fe2091e1-1fc3-34cd-6aa2-0777e8553d37,1989-07-09,,999-82-9020,S99910855,X35270782X,Mr.,Vicente970,Floyd420,MacGyver246,,,D,white,nonhispanic,M,Elmont  New York  US,469 Murray Key,New York,New York,Kings County,36047,11224,40.743215745382585,-73.71369969029202,147983.58,88259.61,155847
8397ac4c-b2f1-3164-3d4e-a3199deed82b,1968-09-05,,999-65-7190,S99980110,X27924875X,Mr.,Luis923,Fernando603,Alba338,,,D,black,nonhispanic,M,San Salvador  El Salvador  SV,827 Pollich Highlands Unit 47,New York,New York,Kings County,36081,11004,40.60018121997674,-73.95010605205279,181237.39,146151.17,50205
d9aa01d7-99ce-4868-e576-a3651fcc12c1,1988-08-03,,999-80-7121,S99965189,X45000138X,Mrs.,Onita767,Dyan186,Mertz280,,Lueilwitz711,M,black,nonhispanic,F,New York  New York  US,292 Mraz Gate,New York,New York,Richmond County,36061,10014,40.69566553554021,-73.78088679196011,131832.55,649301.08,116338
b4e96ca6-3777-0e5a-f1ef-2beade60b0f1,1980-11-27,,999-60-4105,S99921011,X19433973X,Mr.,Sancho742,Jacobo456,Benavídez820,,,D,black,hispanic,M,Buenos Aires  Ciudad de Buenos Aires  AR,236 Hoeger Frontage road Unit 26,Poughkeepsie,New York,Dutchess County,36027,12601,41.67131278839498,-73.90204139031033,144135.94,21022.34,133768
f8446dc0-6b14-d4ee-5cc3-2c566456fe44,2005-06-28,,999-69-4510,S99996701,X76035898X,Mr.,Freeman822,,Hilpert278,,,,white,nonhispanic,M,New York  New York  US,587 Kub Dam,Yaphank,New York,Suffolk County,36103,11980,40.79728125994943,-72.9469915267309,57239.60,14370.61,98508
8a535607-de6c-2dd6-6722-d7cfb173e091,1948-05-14,,999-13-7579,S99922387,X56345477X,Mr.,Anderson154,Anthony633,Stanton715,,,M,white,nonhispanic,M,Pelham Manor  New York  US,855 Luettgen Frontage road,Gowanda,New York,Cattaraugus County,36009,14070,42.397217591104265,-78.94532522224338,105406.26,1825397.75,26323
72ce7a47-5ea8-8e08-020a-fedafb375289,1967-08-30,,999-75-2444,S99967167,X67755782X,Mrs.,Carolynn568,Darnell564,Waelchi213,,Hoppe518,M,white,nonhispanic,F,Colonie  New York  US,545 Lind Alley Suite 82,New York,New York,New York County,36061,10112,40.737279641431066,-73.82737172799818,23195.55,1105498.95,17353
e2eba15d-965a-08f2-af00-d4f655de09a0,1985-06-25,,999-70-1943,S99997337,X37320611X,Mrs.,Erma609,,Bednar518,,Schimmel440,M,black,hispanic,F,New York  New York  US,883 Abernathy Vale,New York,New York,Kings County,36047,11235,40.73886519353699,-73.80306006534188,218532.92,649100.47,108584
ae62edef-b8d1-0d10-9ebb-50c44ce3a91b,1966-05-29,,999-75-6181,S99949302,X585693X,Mr.,Donald774,,Christiansen251,,,D,white,nonhispanic,M,New York  New York  US,657 Crist Spur,New York,New York,New York County,36061,10169,40.78716143413183,-73.9329382038808,831797.30,334875.75,56845
687b6d87-de4c-3d87-9469-d57c329558db,1938-04-22,,999-77-2997,S99999479,X18835158X,Mr.,Manuel446,,Mitchell808,,,M,white,nonhispanic,M,New York  New York  US,1056 Bergstrom Terrace Unit 3,New York,New York,Queens County,36061,10007,40.75216013801252,-73.97402476361943,16506.91,574824.40,1841
